n_samples,percent_of_full_train,random_test,uncertainty_test,entropy_test,margin_test,novelty_test,diversity_test,random_cv_mean,random_cv_std,uncertainty_cv_mean,uncertainty_cv_std,entropy_cv_mean,entropy_cv_std,margin_cv_mean,margin_cv_std,novelty_cv_mean,novelty_cv_std,diversity_cv_mean,diversity_cv_std
12,4.761904761904762,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
13,5.158730158730159,0.5088540349101948,0.5034151277510751,0.5005059448520112,0.533139387806729,0.5198583354414369,0.5106880849987352,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.6,0.20000000000000004
14,5.555555555555555,0.5235896787250189,0.5,0.5,0.4962686567164179,0.503731343283582,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.45,0.10000000000000002,0.5,0.0,0.4,0.2
15,5.9523809523809526,0.5667214773589678,0.503731343283582,0.5391474829243612,0.5,0.5,0.5421831520364281,0.6,0.2,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
16,6.349206349206349,0.5511004300531243,0.506956741715153,0.6156083986845433,0.5326966860612193,0.5254237288135594,0.5397799139893752,0.5,0.0,0.5,0.0,0.6,0.20000000000000004,0.5,0.0,0.5,0.0,0.5,0.0
17,6.746031746031746,0.6152289400455351,0.5,0.5,0.5178977991398938,0.5216923855299772,0.5853781937768783,0.5,0.0,0.5,0.0,0.5,0.0,0.55,0.09999999999999999,0.5,0.0,0.5,0.0
18,7.142857142857143,0.5717176827725778,0.5533771818871743,0.5325701998482165,0.5595117632178093,0.54136099165191,0.5,0.5,0.0,0.5,0.0,0.4,0.2,0.5,0.0,0.5,0.0,0.55,0.09999999999999999
19,7.5396825396825395,0.5789273969137364,0.6204148747786491,0.5633063496078927,0.5270680495825955,0.5328231722742222,0.5384518087528459,0.5,0.0,0.5,0.0,0.55,0.09999999999999999,0.5,0.0,0.5,0.0,0.5,0.0
20,7.936507936507937,0.5169491525423728,0.5,0.5074626865671642,0.536997217303314,0.5149253731343284,0.5,0.5,0.0,0.5,0.0,0.6,0.20000000000000004,0.5,0.0,0.5,0.0,0.5,0.0
21,8.333333333333334,0.5,0.5127118644067796,0.5254237288135594,0.5186567164179104,0.5099924108272198,0.5,0.5,0.0,0.5,0.0,0.5666666666666667,0.13333333333333333,0.5,0.0,0.5,0.0,0.5,0.0
22,8.73015873015873,0.4852643561851758,0.5139134834303061,0.5263091323045789,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5666666666666667,0.13333333333333333,0.5,0.0,0.5,0.0
23,9.126984126984127,0.5433847710599544,0.5,0.4634454844421958,0.45218821148494814,0.5,0.5,0.5,0.0,0.5333333333333333,0.06666666666666665,0.5,0.0,0.5,0.0,0.5333333333333333,0.06666666666666667,0.5,0.0
24,9.523809523809524,0.5509739438401214,0.5480015178345561,0.5,0.5,0.5921452061725272,0.48077409562357704,0.5,0.0,0.5,0.0,0.5,0.0,0.4666666666666666,0.06666666666666668,0.5333333333333333,0.06666666666666665,0.45,0.1
25,9.920634920634921,0.5,0.5731090311156084,0.5171388818618771,0.5,0.554136099165191,0.5084745762711864,0.4666666666666666,0.06666666666666668,0.5,0.0,0.4833333333333333,0.03333333333333335,0.5,0.0,0.4,0.2,0.55,0.06666666666666665
26,10.317460317460318,0.5,0.5,0.5,0.503731343283582,0.5,0.5,0.5,0.0,0.5,0.0,0.4666666666666666,0.06666666666666668,0.5,0.0,0.5,0.0,0.5,0.0
27,10.714285714285714,0.5042372881355932,0.5498988110295978,0.550404755881609,0.5254237288135594,0.5924614217050341,0.5,0.5,0.0,0.4333333333333333,0.13333333333333333,0.5,0.0,0.5,0.0,0.5,0.0,0.5166666666666666,0.0816496580927726
28,11.11111111111111,0.5045535036681001,0.5052491778396154,0.4774854540855047,0.547179357450038,0.5,0.503731343283582,0.5,0.0,0.41666666666666663,0.10540925533894598,0.5,0.0,0.475,0.049999999999999996,0.5,0.0,0.475,0.049999999999999996
29,11.507936507936508,0.5427523399949405,0.5,0.5261194029850746,0.5,0.5,0.5502150265621047,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
30,11.904761904761905,0.5443966607639767,0.5,0.5,0.5111940298507462,0.5428788262079434,0.5,0.5,0.0,0.5,0.0,0.475,0.049999999999999996,0.4666666666666667,0.06666666666666668,0.5,0.0,0.5,0.0
31,12.301587301587302,0.5,0.5047432329876044,0.5186567164179104,0.5713382241335694,0.506450796863142,0.5,0.5,0.0,0.5,0.0,0.4916666666666666,0.016666666666666673,0.5333333333333333,0.06666666666666665,0.5333333333333333,0.06666666666666665,0.5,0.0
32,12.698412698412698,0.6079559827978751,0.5585631166202883,0.6136478623830002,0.5681128257019985,0.6304705287123704,0.6052997723248166,0.5,0.0,0.4916666666666666,0.016666666666666673,0.4666666666666667,0.06666666666666668,0.5,0.0,0.5,0.0,0.5,0.0
