UMAP_1,UMAP_2,SMILES,Label,Status
1.6485296,9.21643,CC(C)NCC(O)COc1cccc2ccccc12,0,pool
2.5142407,7.6633334,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,1,pool
2.6722927,9.421215,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,1,pool
1.9621555,7.2531123,COc1ccc2cc(CCC(C)=O)ccc2c1,1,pool
4.45337,5.851356,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,0,pool
4.508506,5.5245147,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],0,pool
7.3476543,7.1968856,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,0,labeled
8.920267,6.528729,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,1,pool
2.3023758,7.779903,CCCN(CCC)CCc1cccc2c1CC(=O)N2,1,pool
2.4652965,7.79284,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0,pool
7.210709,7.300966,COc1cc(Br)c(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)cc1OC,0,pool
4.5561576,5.783845,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,0,pool
9.119607,7.7381988,COc1ccc(CNc2nc(N3CCC[C@H]3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,0,pool
5.448188,6.3448277,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,0,labeled
4.176474,6.1501436,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,1,pool
9.100245,7.4167633,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,0,pool
10.471303,7.027985,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,1,pool
2.6027856,9.609999,O=C(Oc1ccccc1C(=O)O)c1ccccc1O,0,pool
3.3871086,7.3493342,CN1CCN2c3ncccc3Cc3ccccc3C2C1,1,labeled
8.675067,7.5018992,Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1,0,pool
6.4578004,5.213447,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,1,pool
10.263819,7.1883283,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,0,pool
5.8715763,5.342833,CS(=O)(=O)OCCCCOS(C)(=O)=O,0,pool
3.371362,9.03698,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,1,pool
1.2493336,8.830355,NC(=O)N[C@@H](CCC(=O)O)C(=O)O,0,pool
2.2527032,9.330658,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,0,pool
1.7183453,8.782077,CN(C)C(=N)NC(=N)N,0,pool
2.0302062,7.3185406,CC(=O)NO,1,pool
0.5863286,7.932456,NCCS,1,queried
2.813978,9.050352,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,1,labeled
2.561306,8.701071,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,0,pool
2.6134915,6.3428936,CC(=O)NCCCS(=O)(=O)O,1,labeled
0.5882923,7.9054804,CC(C)C[C@H](CN)CC(=O)O,1,labeled
0.7421966,8.118779,C=CC(N)CCC(=O)O,0,pool
5.3816137,8.164375,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1,pool
6.004091,6.828892,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,1,pool
5.406746,8.763911,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0,pool
9.433562,7.6065564,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,1,pool
8.950722,7.102914,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,1,labeled
2.825735,9.567226,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,1,pool
4.093254,8.484302,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,1,pool
6.6924634,8.246148,C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,0,pool
6.0247984,6.145649,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,0,pool
9.169678,6.807924,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,1,labeled
5.9300947,5.7937555,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,1,pool
4.5139284,7.671548,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,0,pool
3.1739695,7.2965293,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,1,pool
2.0922651,7.7050767,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,1,pool
9.198878,7.4917736,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,1,pool
2.02853,8.964649,Cc1cccc(Nc2ccccc2C(=O)O)c1C,1,pool
1.0433667,7.8084474,C#CCN[C@@H]1CCc2ccccc21,0,labeled
4.374175,6.0986257,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,0,pool
3.1473758,8.057639,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,0,pool
8.973659,7.1529255,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,1,pool
5.2291203,8.9246025,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,1,pool
9.258897,7.5293255,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,1,pool
9.21102,6.853528,O=S(=O)(O)O[C@@H]1[C@@H](OS(=O)(=O)O)[C@H](O[C@@H]2CO[C@@H](O)[C@H](OS(=O)(=O)O)[C@H]2OS(=O)(=O)O)OC[C@H]1O,0,labeled
2.710659,7.9666224,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,0,pool
5.959028,7.9913125,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,1,pool
4.8490753,9.021359,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,0,pool
9.872766,7.2350545,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,1,pool
9.258708,7.6098895,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,1,pool
6.8915524,7.942781,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,1,pool
7.028829,7.0185385,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,1,pool
3.5595922,5.52929,O=c1[nH]c2cc(Cl)ccc2o1,0,labeled
5.6063447,5.6305804,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,0,pool
2.8740036,8.345849,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,1,pool
6.725694,7.8265657,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,1,pool
7.200051,7.1371474,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,0,pool
1.5759412,7.184574,NNc1nncc2ccccc12,1,labeled
5.741774,6.8087387,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,0,labeled
7.2200623,7.4893694,C[C@H](/C=C/[C@H](C)C(C)(C)O)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@]12C,1,pool
4.5912457,8.201499,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,0,pool
4.088297,9.231626,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,1,pool
3.7870548,6.006186,NC(=O)N1c2ccccc2C=Cc2ccccc21,1,pool
2.718951,7.4799223,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],0,pool
3.9581914,7.7631974,Oc1ccc2c(c1)CC[C@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1,0,pool
3.6412709,5.409847,Cn1cc[nH]c1=S,0,pool
3.696269,8.380349,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,0,pool
2.3821354,6.5092144,O=P1(N(CCCl)CCCl)NCCCO1,1,pool
4.9276443,7.22713,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,1,labeled
4.744442,7.043978,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,1,pool
3.1650333,7.022273,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,0,pool
9.215988,7.2222323,COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,1,pool
8.673557,6.948186,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,1,pool
8.917891,7.1173725,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,1,pool
4.346804,5.4019895,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,0,pool
9.812741,6.992973,CC(C)CN(C[C@@H](OP(=O)(O)O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,1,pool
9.568214,6.9001946,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,1,pool
3.9122038,8.780933,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,0,pool
4.3054338,5.5288444,Nc1nc2ccc(OC(F)(F)F)cc2s1,1,pool
4.3318315,6.688624,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,1,pool
2.5820084,9.576225,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,1,pool
2.9190748,9.667552,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,0,pool
2.6443706,9.569481,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,1,pool
6.2251153,5.121249,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,1,pool
6.2842894,5.1372576,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,1,pool
6.1888766,5.17988,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,0,pool
6.550376,5.271571,CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,1,pool
3.8605168,5.431375,COc1c2occc2cc2ccc(=O)oc12,0,pool
4.373953,7.8048472,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,1,pool
5.6375237,7.311756,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,0,pool
7.4201155,7.036495,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,0,pool
8.730803,7.687768,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,1,pool
10.40732,7.0549483,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,1,pool
10.517442,6.970795,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,1,pool
4.9083867,8.778244,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,0,pool
4.1399717,5.5391216,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,1,pool
6.8929524,8.045704,CCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,1,pool
4.683166,6.7249126,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,0,pool
3.464984,7.889671,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,0,pool
10.021674,6.9371047,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,1,pool
1.2749525,7.481628,CCC(=O)NC[C@@H]1C[C@H]1c1cccc2c1CCO2,0,pool
2.700815,7.390558,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,1,pool
3.6738586,6.7989717,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,0,pool
4.274988,8.52482,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,1,pool
3.2567794,8.32315,COc1cccc(C2(O)CCCCC2CN(C)C)c1,0,pool
5.9346523,5.7315555,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,0,labeled
3.8940396,6.8931828,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2,0,pool
4.13656,6.1196194,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,1,pool
7.385763,7.161018,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,1,pool
2.2900712,6.8008547,Nc1[nH]c(=O)ncc1F,0,pool
4.4855995,6.177641,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,0,pool
1.6071197,7.9906344,CCN(CC)C(=O)C1(c2ccccc2)CC1CN,1,pool
4.035924,8.4321,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,0,pool
3.4798112,7.510785,O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,1,labeled
5.110108,8.759617,CCCCC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(=O)O)O1,0,pool
4.398738,8.82027,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,1,pool
4.3313127,6.0399404,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,0,pool
2.883351,6.839592,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0,pool
7.2357655,7.001076,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,1,pool
4.329206,5.9720287,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,0,pool
4.282277,8.556755,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,1,pool
2.4959888,6.528982,Clc1ccc2nsnc2c1NC1=NCCN1,1,pool
7.4554806,7.944404,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,1,pool
7.4888835,7.0700545,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,1,pool
5.7530723,7.028386,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C,1,pool
