UMAP_1,UMAP_2,SMILES,Label,Status
10.380943,8.08739,CC(C)NCC(O)COc1cccc2ccccc12,0,pool
10.662592,8.993094,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,1,labeled
9.840409,8.82864,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,1,pool
10.494446,9.225863,COc1ccc2cc(CCC(C)=O)ccc2c1,1,pool
4.9283137,8.317482,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,0,pool
5.037205,8.609057,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],0,pool
6.5612493,8.672377,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,0,labeled
6.079601,8.71122,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,1,pool
8.866191,9.824721,CCCN(CCC)CCc1cccc2c1CC(=O)N2,1,pool
7.9518595,5.6819415,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0,pool
5.27581,5.994955,COc1cc(Br)c(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)cc1OC,0,pool
5.405408,7.32467,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,0,pool
6.6788826,7.604769,COc1ccc(CNc2nc(N3CCC[C@H]3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,0,pool
8.197512,9.920498,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,0,labeled
7.2391186,10.524205,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,1,pool
7.9357977,8.399604,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,0,pool
