UMAP_1,UMAP_2,SMILES,Label,Status
3.794957,5.6418834,CC(C)NCC(O)COc1cccc2ccccc12,0,pool
7.1385393,5.6809964,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,1,pool
4.70088,5.505185,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,1,pool
4.5734854,5.590214,COc1ccc2cc(CCC(C)=O)ccc2c1,1,pool
4.4849186,3.9523263,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,0,pool
4.7531953,3.8202612,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],0,pool
9.057662,2.4779294,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,0,labeled
8.465758,2.2680833,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,1,pool
5.490436,5.183711,CCCN(CCC)CCc1cccc2c1CC(=O)N2,1,pool
7.517112,5.2614713,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0,pool
8.798189,2.896144,COc1cc(Br)c(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)cc1OC,0,pool
5.298428,3.030754,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,0,pool
8.734309,2.396299,COc1ccc(CNc2nc(N3CCC[C@H]3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,0,pool
6.4370584,3.368792,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,0,pool
5.172,3.0937405,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,1,pool
8.3454685,1.2467827,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,0,pool
8.254486,0.68574804,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,1,pool
5.4045277,4.424877,O=C(Oc1ccccc1C(=O)O)c1ccccc1O,0,pool
7.323796,4.0819397,CN1CCN2c3ncccc3Cc3ccccc3C2C1,1,pool
7.6912947,0.6281994,Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1,0,pool
2.7729778,2.6152408,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,1,pool
8.62028,1.0656066,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,0,pool
2.2225134,2.6325126,CS(=O)(=O)OCCCCOS(C)(=O)=O,0,pool
2.4949734,2.8440027,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,1,pool
3.2781024,5.1859336,NC(=O)N[C@@H](CCC(=O)O)C(=O)O,0,pool
3.4687126,5.3816442,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,0,pool
3.7951682,4.4076166,CN(C)C(=N)NC(=N)N,0,pool
3.2215102,5.1598554,CC(=O)NO,1,pool
2.2288413,2.5672188,NCCS,1,pool
2.1983733,2.669342,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,1,pool
6.4386516,5.832987,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,0,pool
2.2058709,2.6425135,CC(=O)NCCCS(=O)(=O)O,1,labeled
3.4100025,5.4117413,CC(C)C[C@H](CN)CC(=O)O,1,pool
3.3694534,5.4383283,C=CC(N)CCC(=O)O,0,pool
8.812165,1.9552726,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1,pool
8.942632,2.6606565,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,1,pool
6.8128104,4.919839,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0,pool
6.8416824,1.4971273,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,1,pool
