UMAP_1,UMAP_2,SMILES,Label,Status
-1.7564495,4.682781,CC(C)NCC(O)COc1cccc2ccccc12,0,pool
0.76971143,6.772045,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,1,pool
-1.172258,4.8620496,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,1,pool
-0.39262486,5.879832,COc1ccc2cc(CCC(C)=O)ccc2c1,1,pool
-1.7368189,6.104051,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,0,pool
-1.574634,6.235224,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],0,pool
1.8877919,7.4651318,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,0,labeled
2.8345397,5.8588643,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,1,pool
0.90824795,6.5384893,CCCN(CCC)CCc1cccc2c1CC(=O)N2,1,pool
-0.10479203,7.1516337,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0,pool
0.87465435,7.0905957,COc1cc(Br)c(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)cc1OC,0,pool
0.6057337,8.039829,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,0,pool
2.8001933,8.055454,COc1ccc(CNc2nc(N3CCC[C@H]3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,0,pool
1.6732177,6.657506,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,0,labeled
-0.06028804,5.8212514,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,1,pool
5.36658,6.5624595,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,0,pool
6.0561543,6.979955,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,1,pool
-1.3291444,4.811356,O=C(Oc1ccccc1C(=O)O)c1ccccc1O,0,pool
