UMAP_1,UMAP_2,SMILES,Label,Status
4.6953745,4.397276,CC(C)NCC(O)COc1cccc2ccccc12,0,pool
5.1960573,4.4019914,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,1,pool
5.8544483,3.6463022,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,1,pool
5.146506,4.209799,COc1ccc2cc(CCC(C)=O)ccc2c1,1,pool
8.505526,6.5758476,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,0,pool
8.900867,6.6910167,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],0,pool
9.985218,6.564752,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,0,labeled
9.508837,3.3258715,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,1,pool
5.94634,6.008317,CCCN(CCC)CCc1cccc2c1CC(=O)N2,1,pool
5.296107,6.3423667,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0,pool
8.745157,5.8043036,COc1cc(Br)c(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)cc1OC,0,pool
9.086809,6.6646366,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,0,pool
10.121034,5.2633247,COc1ccc(CNc2nc(N3CCC[C@H]3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,0,pool
9.404918,6.40148,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,0,labeled
7.0242124,3.2336197,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,1,pool
9.908708,4.3180847,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,0,pool
10.753493,3.8592572,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,1,pool
5.579555,3.8183923,O=C(Oc1ccccc1C(=O)O)c1ccccc1O,0,pool
7.5142283,5.890829,CN1CCN2c3ncccc3Cc3ccccc3C2C1,1,pool
10.010743,3.1270285,Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1,0,pool
9.31752,3.779846,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,1,pool
10.679905,3.3892953,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,0,pool
4.353378,5.71697,CS(=O)(=O)OCCCCOS(C)(=O)=O,0,pool
4.5108485,5.8229427,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,1,pool
4.1341662,5.379331,NC(=O)N[C@@H](CCC(=O)O)C(=O)O,0,pool
4.504057,5.193583,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,0,pool
4.313543,4.9753923,CN(C)C(=N)NC(=N)N,0,pool
3.7950103,5.5556192,CC(=O)NO,1,pool
3.6123433,5.7246666,NCCS,1,pool
4.361992,5.7460623,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,1,labeled
4.973303,6.078192,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,0,pool
4.3155823,5.7626143,CC(=O)NCCCS(=O)(=O)O,1,labeled
3.4876814,5.839621,CC(C)C[C@H](CN)CC(=O)O,1,labeled
3.4175963,5.8220835,C=CC(N)CCC(=O)O,0,pool
9.534231,5.6586156,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1,pool
9.751562,6.4967203,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,1,pool
5.4517517,7.026121,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0,pool
10.039449,4.2674613,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,1,pool
10.395308,3.7003732,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,1,labeled
7.089424,5.339316,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,1,pool
6.0596094,5.415379,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,1,pool
5.40282,6.927869,C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,0,pool
7.8300653,4.3764467,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,0,pool
9.549375,3.3970087,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,1,labeled
9.578477,3.463948,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,1,pool
9.851199,4.615425,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,0,pool
7.4568734,5.9671707,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,1,pool
5.3238244,6.0260863,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,1,pool
10.010416,4.8053694,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,1,pool
4.9505215,4.047156,Cc1cccc(Nc2ccccc2C(=O)O)c1C,1,pool
5.8464894,6.1136723,C#CCN[C@@H]1CCc2ccccc21,0,labeled
9.891813,6.355744,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,0,pool
6.346466,6.162586,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,0,pool
10.037584,3.3696628,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,1,pool
5.4284115,7.052674,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,1,pool
10.272001,4.166696,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,1,pool
10.527647,3.7684052,O=S(=O)(O)O[C@@H]1[C@@H](OS(=O)(=O)O)[C@H](O[C@@H]2CO[C@@H](O)[C@H](OS(=O)(=O)O)[C@H]2OS(=O)(=O)O)OC[C@H]1O,0,pool
5.4552507,5.2242966,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,0,pool
7.6103563,3.3795867,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,1,pool
4.4016786,6.001145,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,0,pool
10.2944,4.3658404,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,1,pool
10.365912,4.19975,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,1,pool
7.004001,5.858458,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,1,pool
