UMAP_1,UMAP_2,SMILES,Label,Status
2.5811756,4.9401164,O=C(O)c1ccccc1O,1,pool
4.9109178,4.0368223,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1,pool
-7.5700526,8.114919,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0,pool
1.7971178,6.147604,C=CCOc1ccccc1OCC(O)CNC(C)C,1,pool
1.5968525,5.67366,NCCc1ccc(O)c(O)c1,0,pool
2.2466583,5.7754474,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,0,pool
3.3038538,4.619072,O=Cc1ccc(O)c(O)c1,1,pool
-2.7643762,6.425394,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,0,pool
1.6993837,6.0474677,CN(C)CCOC(=O)COc1ccc(Cl)cc1,0,pool
-6.0180745,6.4037023,COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,1,pool
1.4580933,5.1471725,NC(=O)c1ccccc1,0,pool
3.9776554,4.641783,CC(C=O)Cc1ccc(C(C)(C)C)cc1,0,labeled
1.6709684,5.629287,CCOC(=O)c1ccccc1C(=O)OCC,0,pool
3.3735454,4.0820494,NC(=O)c1ccccc1C(N)=O,0,pool
-2.7641442,7.740363,Nc1ccc(Cl)c(Cl)c1,1,pool
-7.693864,8.220497,CCC(Cc1c(I)cc(I)c(O)c1I)C(=O)O,1,pool
3.689588,5.8803596,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,1,pool
1.8969362,5.4907775,CC(C)c1ccc(C(C)C)cc1,0,pool
-1.7336366,5.530134,O=Cc1ccccc1,1,pool
4.3257103,4.321545,COc1cccc(C=O)c1O,1,pool
-7.708813,8.235666,O=[N+]([O-])c1cc(I)c(O)c(I)c1,1,pool
-2.6331036,7.638875,O=CC(=O)c1ccc(F)cc1,0,pool
4.6594715,4.0901623,CCOc1cccc(C=O)c1O,1,pool
-1.9730593,5.7512364,Cc1ccccc1C(C)C,0,pool
3.4020991,4.733387,Cc1ccc(NN)cc1,1,pool
-4.946014,6.9950066,Nc1ccc(Cl)cc1Cl,1,labeled
3.934396,2.101229,Cc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,1,pool
3.3427677,4.724889,C=Cc1ccc(C)cc1,0,pool
3.195983,4.900255,Nc1ccc(Cl)c([N+](=O)[O-])c1,1,pool
2.378758,5.743974,COCCOc1ccc(NC(C)=O)cc1C(C)=O,0,pool
3.8771093,4.614905,COc1ccc(O)c(C=O)c1,1,pool
3.2670863,4.822897,Cc1cc(O)c(C)c(C)c1O,1,pool
-2.4520457,7.5957575,Nc1c(F)c(F)c(F)c(F)c1F,1,pool
1.9839468,5.441874,O=C(O)c1ccccc1C(=O)O,0,pool
2.9247339,0.85437965,COP(=O)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,1,pool
1.7412274,6.094367,CN(C)CCNC(=O)COc1ccc(Cl)cc1,0,pool
3.524421,4.24882,NC(=O)c1cccc(C(N)=O)c1,0,labeled
-7.044983,7.7043014,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,0,pool
1.2308264,5.4242015,CC(C)(C)C(=O)OCC(=O)c1ccccc1,0,pool
4.8925896,4.1328015,CCOc1cc(C=O)cc(C=O)c1O,1,pool
4.463938,4.319942,COc1cc(C=O)cc(C=O)c1O,1,pool
1.7906473,5.312294,NC(=O)c1ccc(C(N)=O)cc1,1,pool
1.9251169,5.2473197,N#Cc1ccc(C(N)=O)cc1,0,pool
1.892252,5.616154,CCOC(=O)c1cc(C)c(N)c(C)c1,0,pool
3.3449528,4.354343,N#Cc1cccc(C(N)=O)c1,0,pool
-2.3497667,6.908554,CCN(CC)CCOC(=O)COc1ccc(Cl)cc1,0,pool
4.444196,3.3584683,O=C(Cc1ccc([N+](=O)[O-])cc1)OCCF,1,pool
4.063851,4.6127844,COc1ccc(CC(=O)OCCF)cc1,1,pool
3.7807178,2.6351905,COc1ccccc1C(=O)NCC(=O)N(C)C,0,pool
-6.810959,7.5093417,CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl,1,pool
-1.8834627,5.283714,N#CSc1ccccc1,1,pool
0.4146483,4.447812,CNC(=S)c1ccccc1,1,pool
1.2120659,3.926339,O=C(O)c1ccccc1OP(=O)(O)O,1,pool
0.6927789,5.974172,Cc1cc(O)c(C(C)C)cc1SC#N,1,pool
3.6467607,4.1881156,NC(=O)NC(=O)NCCc1ccccc1,0,labeled
1.5693606,5.238077,CN(CCc1ccccc1)C(=O)NC(N)=O,0,pool
3.5242732,4.1901736,NC(=O)NC(=O)NCCCc1ccccc1,0,pool
3.455472,4.2081037,NC(=O)NC(=O)NCCCCc1ccccc1,0,pool
3.8685086,4.1944695,COc1ccc(CCNC(=O)NC(N)=O)cc1,0,pool
-2.1428313,5.7131605,CN(C)c1ccc(SC#N)cc1,1,pool
-6.5074697,7.3787203,CN(C)CCc1ccccc1Br,1,labeled
1.2339178,5.23509,C=CCC(CC=C)c1ccccc1,0,pool
4.1436267,4.6059923,C=CCC(CC=C)c1ccc(OC)cc1,0,pool
-0.08020781,6.5206637,CCN(CC)CCOCc1cc(OC)c(OC)c(OC)c1,1,labeled
0.054306135,6.419194,COc1cc(COCCN(C)C)cc(OC)c1OC,1,pool
0.34820974,6.2667427,COc1cc(COCCN)cc(OC)c1OC,1,pool
-1.7703354,5.1861243,C=CCN(CC(N)=O)c1ccccc1,1,pool
1.7527865,5.569451,CC(=O)Nc1ccc(CC(=O)O)cc1,0,pool
-6.813342,7.5178957,CCN(CCBr)Cc1ccc(Cl)cc1,1,pool
-0.983206,4.019987,CCOC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OCC,0,pool
-5.897058,6.9684277,CC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,pool
3.6042094,3.594261,CN(C)C(=O)CCCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,0,pool
-2.282797,5.4566956,CCN(CCN(C)C)c1ccccc1,1,pool
4.544914,4.566873,C=C(C)C(=O)NCCc1ccc(O)cc1,0,pool
-1.3894511,5.257825,O=C(CCl)CC(=O)Nc1ccccc1,1,pool
4.8593144,4.5268354,CC(C)OCC(O)COc1ccccc1,0,pool
-2.7627504,6.53966,CCN(CC)CCOC(=O)c1cc(C)c(N)c(C)c1,1,pool
