UMAP_1,UMAP_2,SMILES,Label,Status
7.6989756,-9.94137,O=C(O)c1ccccc1O,1,pool
6.9353986,-10.90898,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1,pool
8.430642,-16.124231,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0,pool
9.931034,-10.9441395,C=CCOc1ccccc1OCC(O)CNC(C)C,1,pool
8.813989,-11.825955,NCCc1ccc(O)c(O)c1,0,pool
7.874224,-9.575395,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,0,pool
7.82082,-10.122542,O=Cc1ccc(O)c(O)c1,1,pool
9.706202,-10.558289,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,0,pool
9.501389,-12.706406,CN(C)CCOC(=O)COc1ccc(Cl)cc1,0,pool
10.965207,-10.485019,COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,1,pool
7.5763335,-10.346177,NC(=O)c1ccccc1,0,pool
7.539437,-12.959165,CC(C=O)Cc1ccc(C(C)(C)C)cc1,0,labeled
7.6700006,-9.296488,CCOC(=O)c1ccccc1C(=O)OCC,0,pool
7.8000298,-9.865968,NC(=O)c1ccccc1C(N)=O,0,pool
9.041579,-14.375618,Nc1ccc(Cl)c(Cl)c1,1,pool
8.295912,-16.290552,CCC(Cc1c(I)cc(I)c(O)c1I)C(=O)O,1,pool
8.920403,-12.003451,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,1,pool
8.943563,-13.366108,CC(C)c1ccc(C(C)C)cc1,0,pool
8.008059,-11.911078,O=Cc1ccccc1,1,pool
7.3539934,-10.234554,COc1cccc(C=O)c1O,1,pool
8.2924795,-16.299288,O=[N+]([O-])c1cc(I)c(O)c(I)c1,1,pool
8.084012,-10.473276,O=CC(=O)c1ccc(F)cc1,0,pool
6.9930873,-10.037349,CCOc1cccc(C=O)c1O,1,pool
7.5948415,-12.042018,Cc1ccccc1C(C)C,0,pool
8.78452,-11.1615925,Cc1ccc(NN)cc1,1,pool
