UMAP_1,UMAP_2,SMILES,Label,Status
-1.2809365,0.45418763,O=C(O)c1ccccc1O,1,pool
-0.6162286,-1.0024799,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1,pool
-2.2727356,-3.8594792,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0,pool
-1.5439147,2.17534,C=CCOc1ccccc1OCC(O)CNC(C)C,1,pool
-1.2500879,0.566836,NCCc1ccc(O)c(O)c1,0,pool
-1.2014636,1.2847388,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,0,pool
-1.4507747,0.37412462,O=Cc1ccc(O)c(O)c1,1,pool
1.3298033,3.2422895,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,0,pool
-1.8518188,2.1512084,CN(C)CCOC(=O)COc1ccc(Cl)cc1,0,pool
6.7103415,5.6230392,COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,1,pool
-0.25441217,-0.089266844,NC(=O)c1ccccc1,0,pool
-0.91255474,-1.2077525,CC(C=O)Cc1ccc(C(C)(C)C)cc1,0,labeled
0.061134998,0.7804194,CCOC(=O)c1ccccc1C(=O)OCC,0,pool
0.17455812,0.81300616,NC(=O)c1ccccc1C(N)=O,0,pool
-1.5068642,-2.4820342,Nc1ccc(Cl)c(Cl)c1,1,pool
-2.4362445,-4.0389,CCC(Cc1c(I)cc(I)c(O)c1I)C(=O)O,1,pool
-0.6101901,-0.5825984,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,1,pool
-1.1507927,-1.661571,CC(C)c1ccc(C(C)C)cc1,0,pool
-1.3897017,-1.8945165,O=Cc1ccccc1,1,pool
-1.4283864,0.4951471,COc1cccc(C=O)c1O,1,pool
-2.3767567,-3.9591599,O=[N+]([O-])c1cc(I)c(O)c(I)c1,1,pool
-0.35273978,-0.2636167,O=CC(=O)c1ccc(F)cc1,0,pool
-1.6729863,1.5834886,CCOc1cccc(C=O)c1O,1,pool
-0.95744973,-1.640807,Cc1ccccc1C(C)C,0,pool
-0.4014298,-1.5978179,Cc1ccc(NN)cc1,1,pool
-1.510011,-2.4534647,Nc1ccc(Cl)cc1Cl,1,labeled
0.6524031,2.8854473,Cc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,1,pool
-1.7969081,-2.4415128,C=Cc1ccc(C)cc1,0,pool
-0.42618945,-0.026487287,Nc1ccc(Cl)c([N+](=O)[O-])c1,1,pool
-0.334055,2.2372751,COCCOc1ccc(NC(C)=O)cc1C(C)=O,0,pool
-1.4559017,0.391803,COc1ccc(O)c(C=O)c1,1,pool
-0.9741962,-0.82200783,Cc1cc(O)c(C)c(C)c1O,1,pool
-1.4861317,-2.3484523,Nc1c(F)c(F)c(F)c(F)c1F,1,pool
-0.06004944,0.4722509,O=C(O)c1ccccc1C(=O)O,0,pool
6.736742,5.607235,COP(=O)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,1,pool
-1.5503991,2.212525,CN(C)CCNC(=O)COc1ccc(Cl)cc1,0,pool
0.9649627,1.8408957,NC(=O)c1cccc(C(N)=O)c1,0,labeled
-0.88247985,-0.7904579,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,0,pool
1.0570291,2.1518252,CC(C)(C)C(=O)OCC(=O)c1ccccc1,0,pool
-1.4535577,1.7785966,CCOc1cc(C=O)cc(C=O)c1O,1,pool
-1.471895,0.75331783,COc1cc(C=O)cc(C=O)c1O,1,pool
-0.12070963,0.13806573,NC(=O)c1ccc(C(N)=O)cc1,1,pool
-0.27150834,-0.10723258,N#Cc1ccc(C(N)=O)cc1,0,pool
-0.5464045,-0.098794885,CCOC(=O)c1cc(C)c(N)c(C)c1,0,pool
-0.17774728,0.26740643,N#Cc1cccc(C(N)=O)c1,0,pool
-1.7949207,2.1346533,CCN(CC)CCOC(=O)COc1ccc(Cl)cc1,0,pool
0.6413839,2.8495185,O=C(Cc1ccc([N+](=O)[O-])cc1)OCCF,1,pool
-1.0733917,-0.6197969,COc1ccc(CC(=O)OCCF)cc1,1,pool
-0.6630341,2.0156245,COc1ccccc1C(=O)NCC(=O)N(C)C,0,pool
0.8542295,2.2686205,CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl,1,pool
-0.35218304,-0.41376868,N#CSc1ccccc1,1,pool
-0.45515275,-0.70836574,CNC(=S)c1ccccc1,1,pool
1.2322624,2.3764472,O=C(O)c1ccccc1OP(=O)(O)O,1,pool
-0.12583862,0.119784705,Cc1cc(O)c(C(C)C)cc1SC#N,1,pool
-1.0808797,1.5599402,NC(=O)NC(=O)NCCc1ccccc1,0,labeled
-0.97089803,1.3583406,CN(CCc1ccccc1)C(=O)NC(N)=O,0,pool
-0.8756323,1.7023568,NC(=O)NC(=O)NCCCc1ccccc1,0,pool
-0.9953633,1.6294993,NC(=O)NC(=O)NCCCCc1ccccc1,0,pool
-1.1649503,1.8428135,COc1ccc(CCNC(=O)NC(N)=O)cc1,0,pool
